id,Open,High,Low,Close,Adj Close,Volume,Date
233,523,529.150024,516.950012,523.150024,512.676453,894972,2016-07-27
234,523.900024,527.950012,519,520.650024,510.226501,1347889,2016-07-28
235,522.400024,535.5,520,527.400024,516.841309,1785352,2016-07-29
236,528.799988,535,521.5,524.049988,513.55835,955999,2016-08-01
237,525.099976,529.950012,516.200012,517.900024,507.531494,1009436,2016-08-02
238,517,534.900024,515.299988,529.450012,518.850281,1846161,2016-08-03
239,531.200012,534,523,526.950012,516.40033,1564658,2016-08-04
240,530.900024,534.599976,527.25,533.25,522.574158,699384,2016-08-05
241,533.900024,541.200012,531.950012,535.400024,524.681213,852842,2016-08-08
242,537.799988,540,530.150024,532.950012,522.280273,886532,2016-08-09
243,532.5,533.950012,519.5,521.25,510.814453,809814,2016-08-10
244,521.5,525.5,517.900024,523.950012,513.460388,761596,2016-08-11
245,524,526.400024,512.099976,515.950012,505.620544,2124886,2016-08-12
246,510.200012,557.549988,510.200012,554.150024,543.055786,8817547,2016-08-16
247,552,564,547.200012,549.849976,538.841736,3819727,2016-08-17
248,553.700012,557.5,548,552.650024,541.585815,1434412,2016-08-18
249,552.849976,560.549988,552.5,556.799988,545.65271,1598177,2016-08-19
250,557,564.900024,552.299988,557.599976,546.436646,1218782,2016-08-22
251,557.599976,557.75,552.049988,555.650024,544.525757,874783,2016-08-23
252,559.799988,572,553.849976,567.200012,555.844482,2340210,2016-08-24
253,570,574.549988,560,562.900024,551.630554,3471437,2016-08-25
254,567.5,571.700012,562.349976,567.25,555.893494,2196070,2016-08-26
255,568.299988,570.349976,562.900024,568,556.62854,1085860,2016-08-29
256,570,581.450012,567.700012,576.099976,564.566284,1075723,2016-08-30
257,581.049988,587.5,570,572.950012,561.479309,3596264,2016-08-31
258,575,581.299988,571,579.150024,567.555176,960422,2016-09-01
259,580.299988,581.099976,571.5,577.950012,566.379272,880437,2016-09-02
260,585,586.299988,576,578.599976,567.016235,1189215,2016-09-06
261,580.049988,585.950012,575.099976,580.75,569.123169,1786522,2016-09-07
262,581.200012,598.400024,581.200012,595.150024,583.234985,1573263,2016-09-08
263,595.099976,595.599976,578,580.5,568.878235,1513978,2016-09-09
264,572.200012,579.200012,562.299988,570.099976,560.61792,1296182,2016-09-12
265,570,583.700012,569.799988,577.5,567.894897,1579482,2016-09-14
266,579,591,576.849976,585.400024,575.663513,1294197,2016-09-15
267,587.099976,596,586.099976,593.549988,583.677917,2145891,2016-09-16
268,594.900024,600,593.25,597.799988,587.857239,1213754,2016-09-19
269,598.700012,607.5,596,602.849976,592.823181,2209606,2016-09-20
270,602.849976,607,597.099976,601.349976,591.348145,1578461,2016-09-21
271,605,610.950012,603.900024,609.099976,598.969299,1926725,2016-09-22
272,609,617.799988,604.700012,611.549988,601.378479,1225528,2016-09-23
273,609,615,603,604.5,594.445801,1796225,2016-09-26
274,604,610.299988,601.849976,607.200012,597.100891,1443938,2016-09-27
275,608.700012,612.400024,602.25,605.799988,595.724182,1561039,2016-09-28
276,608,611,585.75,602.849976,592.823181,2252434,2016-09-29
277,601.849976,603.900024,562.25,580.049988,570.402405,6967821,2016-09-30
278,584.700012,591.700012,582.200012,588.849976,579.05603,1146677,2016-10-03
279,590.299988,603.849976,590.299988,597.799988,587.857239,1656807,2016-10-04
280,600,600.150024,590,591.650024,581.80957,961556,2016-10-05
281,592.5,596.799988,576.849976,578.799988,569.173279,1504743,2016-10-06
282,578.849976,583.400024,566.5,570.049988,560.568787,1317543,2016-10-07
283,570.25,584.400024,570.25,580.650024,570.992493,929998,2016-10-10
284,596.950012,599,580.5,582,572.320007,3834775,2016-10-13
285,584.75,590,583,587,577.236877,1054501,2016-10-14
286,589,592.049988,583.650024,586,576.253479,1344977,2016-10-17
287,587,594,582.25,592.75,582.891235,1213156,2016-10-18
288,591.200012,598.799988,591.200012,596.349976,586.431335,1001409,2016-10-19
289,596.5,600.5,593.799988,596.599976,586.677124,913371,2016-10-20
290,597.5,597.5,570,583.25,573.549255,1792780,2016-10-21
291,585,594.400024,582,584.700012,574.975159,992033,2016-10-24
292,586,594.5,582.700012,584.5,574.778503,831989,2016-10-25
293,583,584.900024,575.150024,577.650024,568.042358,814132,2016-10-26
294,578,588,570.5,585.75,576.007629,779140,2016-10-27
295,585.5,586.849976,573.700012,575.150024,565.584045,911117,2016-10-28
296,579.450012,579.450012,570.099976,571.75,562.24054,880843,2016-11-01
297,569.950012,569.950012,557.549988,560.099976,550.784241,806345,2016-11-02
298,556,563.799988,556,560,550.685913,701598,2016-11-03
299,556.099976,565.5,538,544.700012,535.640381,1517311,2016-11-04
300,549.5,555.75,544,545.75,536.672913,939497,2016-11-07
301,549.700012,550.900024,530.200012,535.299988,526.396729,1015538,2016-11-08
302,512.099976,532,486.549988,526.299988,517.546448,3810958,2016-11-09
303,545,568,545,563.700012,554.324402,3982787,2016-11-10
304,559.700012,564,545.25,547.950012,538.836365,1232505,2016-11-11
305,547.599976,561.049988,528.599976,552.400024,543.212341,1505372,2016-11-15
306,562,564.849976,535.5,538.150024,529.199402,1169205,2016-11-16
307,539,549.349976,536.099976,545.700012,536.623718,924167,2016-11-17
308,541.200012,555.650024,541.200012,550.950012,541.786438,1214083,2016-11-18
309,550,555.349976,542.099976,545.099976,536.033691,1056778,2016-11-21
310,547.099976,559.349976,543.5,550.5,541.343933,1300502,2016-11-22
311,554.900024,559.400024,547.150024,552.799988,543.605591,1520986,2016-11-23
312,551.400024,558.299988,545.049988,553.650024,544.441589,1816603,2016-11-24
313,557,569.950012,548.5,565.049988,555.651917,1022658,2016-11-25
314,569.299988,577,568.049988,570.549988,561.060486,1224023,2016-11-28
315,573,573.950012,564.299988,569.150024,559.683777,832424,2016-11-29
316,570,573.25,563.5,566.599976,557.176086,1366319,2016-11-30
317,567,579.849976,566.099976,568.200012,558.749573,1064251,2016-12-01
318,566,573.900024,566,571.200012,561.699646,984594,2016-12-02
319,573.5,581.400024,571.349976,573,563.469666,1158108,2016-12-05
320,575,580.450012,570.950012,574.849976,565.28894,779936,2016-12-06
321,577.450012,577.599976,569.400024,570.849976,561.355469,694556,2016-12-07
322,573.5,583.900024,570.200012,582.75,573.057556,1177494,2016-12-08
323,586,586,576.450012,578.900024,569.271606,539344,2016-12-09
324,576.400024,582,572.599976,574.799988,565.239746,848042,2016-12-12
325,574.099976,581.200012,570.5,578.849976,569.222412,553306,2016-12-13
326,579,579.650024,564.25,568,558.552917,585671,2016-12-14
327,568,576.549988,559.099976,563.150024,553.783569,1032429,2016-12-15
328,562.900024,569.900024,561.349976,566.200012,556.782837,665505,2016-12-16
329,565,574.5,561.400024,569.150024,559.683777,997716,2016-12-19
330,572.849976,573.799988,562,563.099976,553.734314,873053,2016-12-20
331,565,567.400024,561.900024,562.799988,553.439331,743830,2016-12-21
332,562.299988,565.950012,560,561.400024,552.062622,1870565,2016-12-22
333,561,589.150024,552,582.299988,572.61499,2585856,2016-12-23
334,581.299988,581.299988,548.099976,554.950012,545.71991,2106357,2016-12-26
335,559,566.200012,555.150024,563.650024,554.275269,1063407,2016-12-27
336,567,572,560.799988,562.400024,553.046021,743252,2016-12-28
337,563.099976,569,562.75,564.849976,555.455261,985947,2016-12-29
338,565.599976,573.450012,565.599976,568.799988,559.3396,673901,2016-12-30
339,569.75,572.450012,563.25,566,556.586121,520139,2017-01-02
340,566.799988,576.799988,562,573.650024,564.108948,626867,2017-01-03
341,572.950012,576,567.5,568.25,558.798706,729355,2017-01-04
342,570.200012,581.5,569.299988,579.849976,570.20575,919562,2017-01-05
343,580.049988,591,577.200012,582.849976,573.155884,851729,2017-01-06
344,583.549988,588.950012,574.900024,576.700012,567.108215,545949,2017-01-09
345,577.5,582.900024,573.599976,574.900024,565.338135,430654,2017-01-10
346,576.950012,579,569.5,576.950012,567.354065,543706,2017-01-11
347,573.950012,587.799988,567.299988,586.25,576.499329,1086059,2017-01-12
348,587,589.099976,579.450012,583.400024,573.696777,557024,2017-01-13
349,577.400024,592,577.400024,588.799988,579.006897,634510,2017-01-16
350,590.5,592,581.200012,587.25,577.482727,737937,2017-01-17
351,588.799988,593.400024,577.349976,580.799988,571.140015,591422,2017-01-18
352,582.299988,587.400024,573.349976,580.349976,570.69751,772657,2017-01-19
353,583.799988,592.5,574.400024,577.599976,567.993164,1100568,2017-01-20
354,574.450012,583.450012,573,575.75,566.174011,1197343,2017-01-23
355,574.700012,581.299988,574.099976,579.900024,570.255005,527089,2017-01-24
356,581.25,588.849976,577.650024,585.650024,575.909363,888914,2017-01-25
357,584.700012,591.400024,579.450012,580.150024,570.500793,622149,2017-01-27
358,578.700012,584.549988,577.150024,582.25,572.565857,589553,2017-01-30
359,581.549988,583,572.599976,575.349976,565.780579,712955,2017-01-31
360,573,579.25,566.299988,572.150024,562.63385,873328,2017-02-01
361,575,587,567.049988,584.349976,574.630859,1033116,2017-02-02
362,584.299988,611.5,580.400024,607.900024,597.789246,2491068,2017-02-03
363,610.349976,621.25,599.099976,601.599976,591.593994,2513820,2017-02-06
364,601.799988,608,594.599976,597.549988,587.611389,1084820,2017-02-07
365,600,609,597.75,603.200012,593.167419,2122225,2017-02-08
366,611,611.549988,584.450012,587.650024,577.876038,4192748,2017-02-09
367,592,593.75,576.799988,579.950012,570.304138,1485266,2017-02-10
368,582.700012,585.400024,576.049988,582.650024,572.959229,946922,2017-02-13
369,582,586.599976,574.099976,576.049988,566.468994,816754,2017-02-14
370,577.5,578.650024,571.150024,574.25,564.698914,1441907,2017-02-15
371,575,585.400024,574.5,584.599976,574.87677,1156826,2017-02-16
372,585.900024,596.450012,580.650024,593.25,583.382935,1209276,2017-02-17
373,593.200012,597.75,582,592.75,582.891235,1008015,2017-02-20
374,591.900024,595,588.5,593.099976,583.235352,712028,2017-02-21
375,592.200012,592.900024,586,589.25,579.449463,942703,2017-02-22
376,589.299988,594.200012,586.049988,592.400024,582.547058,1263865,2017-02-23
377,592,594.900024,581.349976,585.25,575.51593,867683,2017-02-27
