id,Open,High,Low,Close,Adj Close,Volume,Date
149,523.450012,523.450012,511.200012,514.599976,503.127899,7683308,2016-03-23
150,515,515.849976,507.825012,510.200012,498.825989,8261106,2016-03-28
151,511.899994,521,510.100006,518.125,506.57431,7255802,2016-03-29
152,521.349976,525.875,521.349976,523.525024,511.853973,6607560,2016-03-30
153,520.5,528,516.349976,522.599976,510.949524,14095970,2016-03-31
154,519.549988,523.150024,512.5,517.224976,505.694366,5660230,2016-04-01
155,520,521.099976,512.650024,517.525024,505.987671,3946520,2016-04-04
156,515.674988,521.200012,511.100006,513.474976,502.027924,4690296,2016-04-05
157,516.049988,518.349976,511.299988,516.875,505.352142,3195950,2016-04-06
158,517.450012,524,511.049988,518.625,507.063141,4018110,2016-04-07
159,517.950012,527.224976,515.599976,518.174988,506.623169,6131402,2016-04-08
160,518.5,522.75,516.5,520.150024,508.554169,4712636,2016-04-11
161,520.150024,528.724976,519.025024,523.700012,512.025024,5104198,2016-04-12
162,526.275024,534.950012,526.275024,533.025024,521.142151,7332282,2016-04-13
163,532.900024,533.400024,527.700012,532.375,520.506653,8716204,2016-04-18
164,534.599976,534.599976,517.900024,518.650024,507.087616,9914994,2016-04-20
165,520.700012,526,517.5,520.575012,508.969666,5202872,2016-04-21
166,519.5,523.75,514.650024,519.474976,507.894165,5351172,2016-04-22
167,522.224976,522.224976,506.149994,508.450012,497.11499,27959172,2016-04-25
168,507.700012,511.950012,503.75,508.475006,497.139404,12082558,2016-04-26
169,508.950012,512.974976,508,509.700012,498.337158,6630120,2016-04-27
170,507,509.600006,495.475006,498.350006,487.240173,28321014,2016-04-28
171,496.725006,499.274994,489.424988,491.350006,480.39621,10734120,2016-04-29
172,489.5,496.200012,489,493.475006,482.473846,4855506,2016-05-02
173,494,497.475006,486.375,487.899994,477.023102,8033248,2016-05-03
174,487.024994,491.850006,486.5,489.049988,478.147461,6192906,2016-05-04
175,490,491.725006,485.450012,487.625,476.754272,9904822,2016-05-05
176,486.5,488.399994,483.5,484.475006,473.674469,6742440,2016-05-06
177,487.5,493,486.399994,491.549988,480.591766,7016176,2016-05-09
